,event_source,ONNET_OUTGOING_Usage,ONNET_INCOMING,OFFNET_OUTGOING_Usage,OFFNET_INCOMING_Usage,IDD_INCOMING_Usage,Peo_TV_Package,PEO_TV_Usage,Location_Identifier
52,112199024,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLND-PHG-NODE500241
53,112199041,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,NO,NO,MSAG5200-ISLND-PHG-NODE500241
54,112199042,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLND-PHG-NODE500241
55,112199043,HIGH,MEDIUM,HIGH,MEDIUM,LOW,NO,NO,MSAG5200-ISLND-PHG-NODE500241
56,112199125,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,NO,NO,MSAG5200-ISLND-PHG-NODE500241
57,112199210,LOW,MEDIUM,HIGH,MEDIUM,LOW,NO,NO,MSAG5200-ISLND-PHG-NODE500241
58,112199211,MEDIUM,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLND-PHG-NODE500241
59,112199212,LOW,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLND-PHG-NODE500241
60,112199213,LOW,MEDIUM,HIGH,MEDIUM,NO,NO,NO,MSAG5200-ISLND-PHG-NODE500241
61,112199214,MEDIUM,LOW,HIGH,MEDIUM,NO,NO,NO,MSAG5200-ISLND-PHG-NODE500241
62,112199221,LOW,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLND-PHG-NODE500241
63,112199243,MEDIUM,LOW,MEDIUM,LOW,LOW,NO,NO,MSAG5200-ISLND-PHG-NODE500241
64,112199245,LOW,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLND-PHG-NODE500241
65,112199599,LOW,LOW,LOW,LOW,NO,PEO_SILVER,MEDIUM,MSAG5200-ISLND-PHG-NODE500241
66,112199939,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,NO,NO,MSAG5200-ISLND-PHG-NODE500241
67,112199975,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLND-PHG-NODE500241
68,112199985,MEDIUM,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLND-PHG-NODE500241
69,112199986,HIGH,MEDIUM,HIGH,MEDIUM,LOW,NO,NO,MSAG5200-ISLND-PHG-NODE500241
70,112199987,HIGH,MEDIUM,HIGH,MEDIUM,NO,NO,NO,MSAG5200-ISLND-PHG-NODE500241
71,112199988,MEDIUM,HIGH,HIGH,HIGH,HIGH,NO,NO,MSAG5200-ISLND-PHG-NODE500241
72,112199989,MEDIUM,LOW,HIGH,LOW,LOW,NO,NO,MSAG5200-ISLND-PHG-NODE500241
73,112300006,MEDIUM,MEDIUM,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
74,112300068,MEDIUM,MEDIUM,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
75,112300133,HIGH,MEDIUM,MEDIUM,HIGH,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
76,112300134,MEDIUM,NO,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
77,112300584,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
78,112300782,MEDIUM,LOW,LOW,LOW,MEDIUM,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
79,112300783,MEDIUM,LOW,MEDIUM,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
80,112300796,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
81,112300817,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
82,112300913,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
83,112300914,MEDIUM,LOW,LOW,LOW,MEDIUM,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
84,112300987,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
85,112302086,MEDIUM,MEDIUM,MEDIUM,MEDIUM,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
86,112302183,MEDIUM,MEDIUM,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
87,112302623,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
88,112302720,LOW,MEDIUM,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
89,112302782,MEDIUM,LOW,NO,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
90,112302980,MEDIUM,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
91,112303023,LOW,LOW,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
92,112303137,MEDIUM,MEDIUM,HIGH,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
93,112303280,MEDIUM,MEDIUM,MEDIUM,MEDIUM,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
94,112303309,HIGH,MEDIUM,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
95,112303655,LOW,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
96,112303688,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
97,112303723,MEDIUM,MEDIUM,MEDIUM,MEDIUM,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
98,112303724,HIGH,MEDIUM,MEDIUM,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
99,112303810,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
100,112303811,LOW,LOW,LOW,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
101,112303812,LOW,NO,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
102,112303866,LOW,NO,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
103,112303867,LOW,LOW,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
104,112303868,LOW,NO,LOW,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
105,112303914,HIGH,MEDIUM,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
106,112303977,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
107,112304040,LOW,LOW,LOW,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
108,112304049,MEDIUM,MEDIUM,LOW,LOW,LOW,PEO_UTHAYAM,LOW,MSAG5200-ISLSI-DWS-NODE520721
109,112304133,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
110,112304596,LOW,MEDIUM,MEDIUM,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
111,112305006,LOW,NO,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
112,112305087,LOW,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
113,112305088,MEDIUM,MEDIUM,HIGH,MEDIUM,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
114,112305105,LOW,LOW,LOW,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
115,112305302,LOW,NO,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
116,112305326,HIGH,HIGH,HIGH,HIGH,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
117,112305327,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
118,112305505,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
119,112305705,LOW,LOW,LOW,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
120,112305959,LOW,MEDIUM,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
121,112305961,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
122,112307168,MEDIUM,HIGH,NO,HIGH,HIGH,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
123,112307169,MEDIUM,LOW,NO,LOW,MEDIUM,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
124,112307171,MEDIUM,LOW,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
125,112307239,MEDIUM,LOW,NO,MEDIUM,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
126,112307300,HIGH,HIGH,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
127,112307302,MEDIUM,LOW,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
128,112307600,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
129,112307750,MEDIUM,LOW,MEDIUM,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
130,112307751,MEDIUM,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
131,112307777,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
132,112307779,LOW,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
133,112307800,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
134,112307809,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
135,112307967,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
136,112307981,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
137,112314069,LOW,LOW,LOW,LOW,NO,PEO_TITANIUM,NO,MSAG5200-ISLSI-DWS-NODE520721
138,112314074,LOW,NO,LOW,LOW,NO,PEO_TITANIUM,HIGH,MSAG5200-ISLSI-DWS-NODE520721
139,112314081,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
140,112314085,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
141,112314205,LOW,NO,LOW,NO,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
142,112314302,MEDIUM,LOW,HIGH,LOW,MEDIUM,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
143,112314620,LOW,MEDIUM,NO,MEDIUM,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
144,112314621,LOW,LOW,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
145,112314622,LOW,LOW,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
146,112314623,LOW,LOW,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
147,112314624,LOW,NO,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
148,112314625,LOW,LOW,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
149,112314626,LOW,LOW,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
150,112314985,LOW,MEDIUM,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
151,112314990,LOW,LOW,LOW,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
152,112320591,LOW,LOW,LOW,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
153,112320594,LOW,LOW,NO,NO,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
154,112330705,LOW,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
155,112333297,MEDIUM,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
156,112333481,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
157,112333585,LOW,LOW,NO,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
158,112333861,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
159,112333862,LOW,LOW,MEDIUM,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
160,112333864,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
161,112334943,LOW,NO,NO,NO,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
162,112335988,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,NO,NO,C300MKI-NODE10668164
163,112340330,MEDIUM,LOW,MEDIUM,LOW,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
164,112343065,LOW,MEDIUM,LOW,LOW,HIGH,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
165,112343978,MEDIUM,NO,LOW,NO,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
166,112343979,MEDIUM,MEDIUM,LOW,LOW,HIGH,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
167,112347535,MEDIUM,MEDIUM,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
168,112347701,LOW,NO,NO,NO,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
169,112364437,LOW,LOW,LOW,LOW,HIGH,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
170,112380075,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
171,112380077,LOW,LOW,LOW,LOW,MEDIUM,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
172,112394997,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLSI-DWS-NODE520721
173,112410014,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,NO,NO,C300MIDH-IDJ-NODE11065541
174,112410034,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
175,112410038,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
176,112410043,LOW,MEDIUM,MEDIUM,MEDIUM,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
177,112410045,MEDIUM,MEDIUM,LOW,MEDIUM,HIGH,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
178,112410051,LOW,LOW,LOW,LOW,MEDIUM,PEO_SILVER,MEDIUM,MSAG5200-ISLIDH-KGW-NODE6194491
179,112410059,MEDIUM,MEDIUM,MEDIUM,MEDIUM,NO,PEO_SILVER,MEDIUM,C300MIDH-IDJ-NODE11065541
180,112410065,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,NO,NO,C300MIDH-IDJ-NODE11065541
181,112410066,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,PEO_SILVER,NO,C300MIDH-IDJ-NODE11065541
182,112410069,LOW,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
183,112410084,MEDIUM,MEDIUM,MEDIUM,MEDIUM,NO,PEO_SILVER,MEDIUM,MSAG5200-ISLIDH-KGW-NODE6194491
184,112410089,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,NO,NO,C300MIDH-IDJ-NODE11065541
185,112410091,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
186,112410092,MEDIUM,MEDIUM,LOW,LOW,LOW,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
187,112410093,LOW,LOW,LOW,LOW,NO,NO,NO,C300MIDH-IDJ-NODE11065541
188,112410097,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,PEO_SILVER,MEDIUM,C300MIDH-IDJ-NODE11065541
189,112410102,LOW,HIGH,LOW,MEDIUM,MEDIUM,NEW_SLT_STAFF_PACKAGE,LOW,MSAG5200-ISLIDH-KGW-NODE6194491
190,112410103,LOW,MEDIUM,LOW,MEDIUM,LOW,PEO_SILVER,LOW,MSAG5200-ISLIDH-KGW-NODE6194491
191,112410106,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,NO,NO,C300MIDH-IDJ-NODE11065541
192,112410115,MEDIUM,MEDIUM,LOW,MEDIUM,NO,PEO_UTHAYAM,LOW,MSAG5200-ISLIDH-KGW-NODE6194491
193,112410121,MEDIUM,MEDIUM,LOW,MEDIUM,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
194,112410129,MEDIUM,MEDIUM,MEDIUM,MEDIUM,NO,PEO_SILVER,MEDIUM,C300MIDH-IDJ-NODE11065541
195,112410136,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
196,112410140,LOW,MEDIUM,LOW,LOW,NO,PEO_SILVER,MEDIUM,MSAG5200-ISLIDH-KGW-NODE6194491
197,112410142,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,PEO_SILVER,MEDIUM,MSAG5200-ISLIDH-KGW-NODE6194491
198,112410145,LOW,LOW,LOW,MEDIUM,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
199,112410154,LOW,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
200,112410161,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,PEO_SILVER,MEDIUM,MSAG5200-ISLIDH-KGW-NODE6194491
201,112410162,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
202,112410185,MEDIUM,MEDIUM,MEDIUM,LOW,NO,PEO_SILVER,NO,MSAG5200-ISLIDH-KGW-NODE6194491
203,112410189,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,PEO_SILVER,HIGH,MSAG5200-ISLIDH-KGW-NODE6194491
204,112410190,LOW,NO,NO,NO,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
205,112410191,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
206,112410212,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,PEO_TITANIUM,MEDIUM,C300MIDH-IDJ-NODE11065541
207,112410229,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
208,112410230,LOW,MEDIUM,LOW,LOW,NO,PEO_SILVER,MEDIUM,MSAG5200-ISLIDH-KGW-NODE6194491
209,112410234,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
210,112410237,LOW,LOW,LOW,LOW,NO,NEW_SLT_STAFF_PACKAGE,HIGH,MSAG5200-ISLIDH-KGW-NODE6194491
211,112410247,MEDIUM,HIGH,MEDIUM,MEDIUM,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
212,112410248,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
213,112410256,LOW,MEDIUM,LOW,LOW,NO,NO,NO,C300MIDH-IDJ-NODE11065541
214,112410257,MEDIUM,MEDIUM,LOW,MEDIUM,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
215,112410269,LOW,LOW,LOW,LOW,LOW,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
216,112410298,MEDIUM,MEDIUM,MEDIUM,MEDIUM,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
217,112410303,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
218,112410305,LOW,MEDIUM,MEDIUM,HIGH,LOW,PEO_SILVER,HIGH,MSAG5200-ISLIDH-KGW-NODE6194491
219,112410307,HIGH,MEDIUM,HIGH,HIGH,HIGH,NO,NO,C300MIDH-IDJ-NODE11065541
220,112410331,MEDIUM,MEDIUM,MEDIUM,MEDIUM,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
221,112410332,LOW,LOW,MEDIUM,LOW,HIGH,NO,NO,C300MIDH-IDJ-NODE11065541
222,112410336,HIGH,HIGH,HIGH,MEDIUM,LOW,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
223,112410338,MEDIUM,MEDIUM,LOW,MEDIUM,NO,PEO_SILVER,NO,MSAG5200-ISLIDH-KGW-NODE6194491
224,112410341,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
